delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beeb.started,sound_1.started,sound_1.stopped,beeb.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,400,unexp,31,7,2,space,0.6118053999962285,None,200,1,[2.0672224999871105],[2.067237799987197],2,7,31,2,202.7466768999875,,202.7284165000019,202.7466768999875,203.74264979999862,203.74264979999862,203.75899659999413,204.35999649998848,space,0.6118053999962285,None,204.36074770000414,205.07522136666037,205.400229699997,205.37942969999858,205.37997000000905,205.400229699997,205.400229699997,205.400229699997,207.46838890001527,200,1,[2.0672224999871105],[2.067237799987197],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,400,unexp,32,8,2,space,2.4474177999945823,None,200,1,[1.3834784999780823],[1.3834929000004195],2,8,32,1,207.4833983000135,,207.4688662000117,207.4833983000135,208.48276220000116,208.48276220000116,208.48276220000116,210.93303439999,space,2.4474177999945823,None,210.93384700000752,211.34817616668104,211.67286819999572,211.65191650000634,211.65363409998827,211.67286819999572,211.67286819999572,211.67286819999572,213.05720370000927,200,1,[1.3834784999780823],[1.3834929000004195],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,33,9,2,space,0.5142214999941643,None,300,1,[23.40742649999447],[23.407441399991512],2,9,33,3,213.07308649999322,,213.05760060000466,213.07308649999322,214.0713018999959,214.0713018999959,214.08794349999516,214.58881509999628,space,0.5142214999941643,None,214.58954760001507,214.70491566666558,215.02954389998922,215.0003032000095,215.00086629998987,215.02954389998922,215.02954389998922,215.02954389998922,238.43783599999733,300,1,[23.40742649999447],[23.407441399991512],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp ,34,10,2,space,0.41380940002272837,None,200,1,[2.2996603999927174],[2.299676399998134],2,10,34,8,238.45296699999017,,238.43821930000558,238.45296699999017,239.45222380000632,239.45222380000632,239.45222380000632,239.86982530000387,space,0.41380940002272837,None,239.8707529999956,240.58529356666648,240.91024279998965,240.88804170000367,240.88856960000703,240.91024279998965,240.91024279998965,240.91024279998965,243.21081530000083,200,1,[2.2996603999927174],[2.299676399998134],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp,35,11,2,space,0.2558650000137277,None,300,1,[1.7498025000095367],[1.7498166000004858],2,11,35,5,243.22588350001024,,243.21118959999876,243.22588350001024,244.22543880000012,244.22543880000012,244.22543880000012,244.49310399999376,space,0.2558650000137277,None,244.49395040000672,245.20820466668036,245.53329019999364,245.5067788999877,245.50724810000975,245.53329019999364,245.53329019999364,245.53329019999364,247.284015799989,300,1,[1.7498025000095367],[1.7498166000004858],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp,36,0,3,space,1.254201000003377,None,100,1,[1.7994569999864325],[1.7994714000087697],3,0,36,5,247.2991011000122,,247.2844175999926,247.2991011000122,248.28214480000315,248.28214480000315,248.29973980001523,249.54783339999267,space,1.254201000003377,None,249.5485989000008,250.26318306665442,250.58821670000907,250.56304569999338,250.5635665000009,250.58821670000907,250.58821670000907,250.58821670000907,252.38854829999036,100,1,[1.7994569999864325],[1.7994714000087697],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,37,1,3,space,3.6390680999902543,None,200,1,[2.8496159999922384],[2.8496322999999393],3,1,37,3,252.40392400001292,,252.38895190000767,252.40392400001292,253.40325249999296,253.40325249999296,253.40325249999296,257.052829799999,space,3.6390680999902543,None,257.053590800002,257.16858246666766,257.4935222000058,257.46415650000563,257.4646642000007,257.4935222000058,257.4935222000058,257.4935222000058,260.34396560001187,200,1,[2.8496159999922384],[2.8496322999999393],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,400,unexp,38,2,3,space,0.9425106999988202,None,200,1,[2.7493640999891795],[2.7493788999854587],3,2,38,0,260.35894410000765,,260.3443411999906,260.35894410000765,261.35825739998836,261.35825739998836,261.35825739998836,262.3092056000023,space,0.9425106999988202,None,262.3099734999996,262.42433626667867,262.74953289999394,262.72281159998965,262.72328430000925,262.74953289999394,262.74953289999394,262.74953289999394,265.49982450000243,200,1,[2.7493640999891795],[2.7493788999854587],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,39,3,3,space,0.7334632000129204,None,100,1,[1.7327535999938846],[1.7327671000093687],3,3,39,6,265.5152511000051,,265.5002058999962,265.5152511000051,266.51450900000054,266.51450900000054,266.51450900000054,267.2650117999874,space,0.7334632000129204,None,267.26574850000907,267.3644935666564,267.68928379999124,267.66182460001437,267.6623733000015,267.68928379999124,267.68928379999124,267.68928379999124,269.4229628999892,100,1,[1.7327535999938846],[1.7327671000093687],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,40,4,3,space,0.7005689000070561,None,300,1,[1.5505039000126999],[1.550518000003649],3,4,40,7,269.43823460000567,,269.4233709000109,269.43823460000567,270.43750070000533,270.43750070000533,270.43750070000533,271.15486959999544,space,0.7005689000070561,None,271.15573940001195,271.57078886666955,271.8953734000097,271.8749596000125,271.8754835000145,271.8953734000097,271.8953734000097,271.8953734000097,273.4467219999933,300,1,[1.5505039000126999],[1.550518000003649],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp,41,5,3,space,0.6928509999997914,None,300,1,[2.284844999987399],[2.2848597999836784],3,5,41,11,273.46156580001116,,273.4470335000078,273.46156580001116,274.46178599999985,274.46178599999985,274.46178599999985,275.16175070000463,space,0.6928509999997914,None,275.1625101999962,275.87715216668244,276.2022399000125,276.17356900000595,276.1740454999963,276.2022399000125,276.2022399000125,276.2022399000125,278.4880000000121,300,1,[2.284844999987399],[2.2848597999836784],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,400,unexp,42,6,3,space,0.4859588000108488,None,200,1,[2.4328949000046123],[2.43290960000013],3,6,42,2,278.5032485999982,,278.48842010000953,278.5032485999982,279.5039882000128,279.5039882000128,279.5039882000128,280.0040194999892,space,0.4859588000108488,None,280.00487299999804,280.71876396667017,281.04384779999964,281.0165165000071,281.0170601000136,281.04384779999964,281.04384779999964,281.04384779999964,283.47778200000175,200,1,[2.4328949000046123],[2.43290960000013],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,43,7,3,space,4.84534060000442,None,200,1,[2.533672599995043],[2.533686699985992],3,7,43,10,283.49265200001537,,283.4782006999885,283.49265200001537,284.4924716000096,284.4924716000096,284.4924716000096,289.34156030000304,space,4.84534060000442,None,289.342445199989,289.75635566667574,290.08130049999454,290.0568001999927,290.0572666999942,290.08130049999454,290.08130049999454,290.08130049999454,292.61586240000906,200,1,[2.533672599995043],[2.533686699985992],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp ,44,8,3,space,0.418356699985452,None,200,1,[1.9163046999892686],[1.9163152999826707],3,8,44,8,292.63087839999935,,292.61625930000446,292.63087839999935,293.6301323999942,293.6301323999942,293.6301323999942,294.06417150000925,space,0.418356699985452,None,294.06491740001366,294.77960606667716,295.10458579999977,295.07474119999097,295.0752034999896,295.10458579999977,295.10458579999977,295.10458579999977,297.02170099999057,200,1,[1.9163046999892686],[1.9163152999826707],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,45,9,3,space,12.374541099998169,None,200,1,[2.5993275999790058],[2.599342199973762],3,9,45,9,297.0371584999957,,297.0220094000106,297.0371584999957,298.03661089998786,298.03661089998786,298.03661089998786,310.41575620000367,space,12.374541099998169,None,310.4165175000089,310.5312097666649,310.85626210001647,310.82967539998936,310.83025890000863,310.85626210001647,310.85626210001647,310.85626210001647,313.45649869999033,200,1,[2.5993275999790058],[2.599342199973762],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,400,unexp,46,10,3,space,0.4162046000128612,None,300,1,[2.232777099998202],[2.232795599993551],3,10,46,1,313.4719899999909,,313.4569391999976,313.4719899999909,314.47120080000605,314.47120080000605,314.47120080000605,314.88918399999966,space,0.4162046000128612,None,314.88996639999095,315.3040775666634,315.6295012999908,315.6081916000112,315.6086751999974,315.6295012999908,315.6295012999908,315.6295012999908,317.8631482000055,300,1,[2.232777099998202],[2.232795599993551],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,47,11,3,space,3.2510036999883596,None,200,1,[1.8670908999920357],[1.8671048999822233],3,11,47,4,317.8781572000007,,317.8635445999971,317.8781572000007,318.8776319999888,318.8776319999888,318.8776319999888,322.14385319998837,space,3.2510036999883596,None,322.144604400004,322.55933116667825,322.8841775000037,322.8617266000074,322.8622719999985,322.8841775000037,322.8841775000037,322.8841775000037,324.752098500001,200,1,[1.8670908999920357],[1.8671048999822233],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp,48,0,4,space,0.5637343999987934,None,100,1,[1.4668811000010464],[1.4668967000034172],4,0,48,11,324.76701840001624,,324.75248389999615,324.76701840001624,325.7664754000143,325.7664754000143,325.7664754000143,326.3338034999906,space,0.5637343999987934,None,326.33453590000863,327.0491526666776,327.3741861000017,327.3522918999952,327.35277430000133,327.3741861000017,327.3741861000017,327.3741861000017,328.8419836999965,100,1,[1.4668811000010464],[1.4668967000034172],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,49,1,4,space,0.5110480999865104,None,200,1,[2.41640180000104],[2.416416499996558],4,1,49,9,328.85680830001365,,328.84238839999307,328.85680830001365,329.85623110001325,329.85623110001325,329.85623110001325,330.37370289998944,space,0.5110480999865104,None,330.3744354000082,330.4892418666607,330.8141064000083,330.78675349999685,330.7872223999875,330.8141064000083,330.8141064000083,330.8141064000083,333.23137749999296,200,1,[2.41640180000104],[2.416416499996558],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,50,2,4,space,0.4531485000043176,None,300,1,[1.9498677999945357],[1.9498836999991909],4,2,50,3,333.2465985000017,,333.2317745999899,333.2465985000017,334.2462940000114,334.2462940000114,334.2462940000114,334.71372590001556,space,0.4531485000043176,None,334.71463070000755,334.82911906668255,335.15430789999664,335.12809010001365,335.12854649999645,335.15430789999664,335.15430789999664,335.15430789999664,337.1049358000164,300,1,[1.9498677999945357],[1.9498836999991909],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,51,3,4,space,0.42894529999466613,None,100,1,[2.949213799991412],[2.949227200006135],4,3,51,7,337.11998389998917,,337.1052641000133,337.11998389998917,338.119426499994,338.119426499994,338.119426499994,338.5534171999898,space,0.42894529999466613,None,338.554258499993,338.9690360666757,339.29426540000713,339.2668696999899,339.26737200000207,339.29426540000713,339.29426540000713,339.29426540000713,342.24425230000634,100,1,[2.949213799991412],[2.949227200006135],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp,52,4,4,space,0.36644059998798184,None,200,1,[1.4003742999921087],[1.400391800008947],4,4,52,5,342.2597362000088,,342.2446138999949,342.2597362000088,343.259290099988,343.259290099988,343.259290099988,343.6427590000094,space,0.36644059998798184,None,343.64359530000365,344.3419861666664,344.66648429998895,344.6431877000141,344.64372240001103,344.66648429998895,344.66648429998895,344.66648429998895,346.06776649999665,200,1,[1.4003742999921087],[1.400391800008947],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,400,unexp,53,5,4,space,0.3255034000030719,None,300 ,1,[3.1164414000231773],[3.116452800022671],4,5,53,2,346.0828918000043,,346.0681437999883,346.0828918000043,347.082433100004,347.082433100004,347.082433100004,347.41675619999296,space,0.3255034000030719,None,347.4175089999917,348.1315643666642,348.45644020001055,348.4294921999972,348.43019159999676,348.45644020001055,348.45644020001055,348.45644020001055,351.5736975999898,300 ,1,[3.1164414000231773],[3.116452800022671],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
