thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
73,0,73,[-0.44],[0.26416666666666666],[1],[0],[0],[1.5759709998965263],['target'],73,0,73,0,104.50310530001298,,5,104.49515120009892,104.50310530001298,104.50310530001298,0.012632499914616346,106.07160419994034,[-0.44],[0.26416666666666666],[1],[0],[0],[1.5759709998965263],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
74,0,74,[-0.43],[-0.4825],[1],[0],[0],[2.225057599833235],['target'],74,0,74,0,106.09162899991497,,5,106.0831249000039,106.09162899991497,106.09162899991497,0.011384099954739213,108.30866850004531,[-0.43],[-0.4825],[1],[0],[0],[2.225057599833235],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
75,0,75,[0.20416666666666666],[0.415],[1],[0],[0],[1.7669732999056578],['target'],75,0,75,0,108.34950420004316,,10,108.33228339999914,108.34950420004316,108.34950420004316,0.023453000001609325,110.09960100008175,[0.20416666666666666],[0.415],[1],[0],[0],[1.7669732999056578],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
76,0,76,[0.16416666666666666],[-0.025],[1],[0],[0],[1.4681104999035597],['target'],76,0,76,0,110.14002300007269,,10,110.12238939991221,110.14002300007269,110.14002300007269,0.022611899999901652,111.59098510001786,[0.16416666666666666],[-0.025],[1],[0],[0],[1.4681104999035597],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
77,0,77,[-0.18416666666666667],[-0.105],[1],[0],[0],[1.109681900124997],['target'],77,0,77,0,111.61134100006893,,5,111.60284950002097,111.61134100006893,111.61134100006893,0.011701400158926845,112.71308790007606,[-0.18416666666666667],[-0.105],[1],[0],[0],[1.109681900124997],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
78,0,78,[-0.16333333333333333],[-0.105],[1],[0],[0],[0.7835087000858039],['target'],78,0,78,0,112.75268030003645,,10,112.73622740013525,112.75268030003645,112.75268030003645,0.022958700079470873,113.52017210004851,[-0.16333333333333333],[-0.105],[1],[0],[0],[0.7835087000858039],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
79,0,79,[-0.059166666666666666],[-0.15833333333333333],[1],[0],[0],[0.9333673999644816],['target'],79,0,79,0,113.56087980000302,,10,113.54354560002685,113.56087980000302,113.56087980000302,0.02322129998356104,114.47725929995067,[-0.059166666666666666],[-0.15833333333333333],[1],[0],[0],[0.9333673999644816],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
80,0,80,[-0.43583333333333335],[-0.36083333333333334],[1],[0],[0],[1.1025273001287133],['target'],80,0,80,0,114.51870630006306,,10,114.5001312000677,114.51870630006306,114.51870630006306,0.022724299924448133,115.60312970005907,[-0.43583333333333335],[-0.36083333333333334],[1],[0],[0],[1.1025273001287133],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
81,0,81,[-0.08083333333333333],[-0.10083333333333333],[1],[0],[0],[1.0923369000665843],['target'],81,0,81,0,115.62330879992805,,5,115.61474839993753,115.62330879992805,115.62330879992805,0.011426900047808886,116.70743680000305,[-0.08083333333333333],[-0.10083333333333333],[1],[0],[0],[1.0923369000665843],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
82,0,82,[0.043333333333333335],[0.37833333333333335],[1],[0],[0],[1.824295099824667],['target'],82,0,82,0,116.72736099991016,,5,116.71973020001315,116.72736099991016,116.72736099991016,0.012126700021326542,118.54436130006798,[0.043333333333333335],[0.37833333333333335],[1],[0],[0],[1.824295099824667],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
83,0,83,[0.15],[-0.08416666666666667],[1],[0],[0],[1.1848377999849617],['target'],83,0,83,0,118.58586700004525,,10,118.56703620008193,118.58586700004525,118.58586700004525,0.022546800086274743,119.75222070002928,[0.15],[-0.08416666666666667],[1],[0],[0],[1.1848377999849617],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
84,0,84,[0.3625],[-0.24416666666666667],[1],[0],[0],[1.392091300105676],['target'],84,0,84,0,119.77237710007466,,5,119.76404149993323,119.77237710007466,119.77237710007466,0.011612400179728866,121.15650629997253,[0.3625],[-0.24416666666666667],[1],[0],[0],[1.392091300105676],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
85,0,85,[-0.2808333333333333],[0.475],[1],[0],[0],[1.8420653999783099],['target'],85,0,85,0,121.17698110011406,,5,121.16826459998265,121.17698110011406,121.17698110011406,0.011624899925664067,123.01079430012032,[-0.2808333333333333],[0.475],[1],[0],[0],[1.8420653999783099],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
