thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
37,0,37,[-0.09333333333333334],[0.009166666666666667],[1],[0],[0],[0.9506814999040216],['target'],37,0,37,0,41.39370119990781,,10,41.377166899852455,41.39370119990781,41.39370119990781,0.03186760004609823,42.32836769986898,[-0.09333333333333334],[0.009166666666666667],[1],[0],[0],[0.9506814999040216],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
38,0,38,[-0.3441666666666667],[0.2791666666666667],[1],[0],[0],[1.3342442999128252],['target'],38,0,38,0,42.37719299993478,,10,42.36135599995032,42.37719299993478,42.37719299993478,0.03278340003453195,43.69605519995093,[-0.3441666666666667],[0.2791666666666667],[1],[0],[0],[1.3342442999128252],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
39,0,39,[-0.195],[-0.3575],[1],[0],[0],[1.6139418999664485],['target'],39,0,39,0,43.72606899985112,,5,43.712460699956864,43.72606899985112,43.72606899985112,0.016187000088393688,45.326853199861944,[-0.195],[-0.3575],[1],[0],[0],[1.6139418999664485],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
40,0,40,[-0.5133333333333333],[0.26666666666666666],[1],[0],[0],[1.1073723000008613],['target'],40,0,40,0,45.36704399995506,,5,45.34343059989624,45.36704399995506,45.36704399995506,0.016405000118538737,46.45122669986449,[-0.5133333333333333],[0.26666666666666666],[1],[0],[0],[1.1073723000008613],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
41,0,41,[-0.32083333333333336],[-0.22833333333333333],[1],[0],[0],[1.2885892000049353],['target'],41,0,41,0,46.491311399964616,,5,46.469702099915594,46.491311399964616,46.491311399964616,0.018283999990671873,47.758769899839535,[-0.32083333333333336],[-0.22833333333333333],[1],[0],[0],[1.2885892000049353],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
42,0,42,[-0.4741666666666667],[-0.37666666666666665],[1],[0],[0],[1.2350041000172496],['target'],42,0,42,0,47.80767849995755,,10,47.79140409990214,47.80767849995755,47.80767849995755,0.03243550006300211,49.02690319996327,[-0.4741666666666667],[-0.37666666666666665],[1],[0],[0],[1.2350041000172496],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
43,0,43,[0.4683333333333333],[-0.10833333333333334],[1],[0],[0],[1.5306595000438392],['target'],43,0,43,0,49.05772659997456,,5,49.043253700016066,49.05772659997456,49.05772659997456,0.016142599983140826,50.57442960003391,[0.4683333333333333],[-0.10833333333333334],[1],[0],[0],[1.5306595000438392],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
44,0,44,[-0.045],[0.31583333333333335],[1],[0],[0],[1.398961199913174],['target'],44,0,44,0,50.62200720002875,,10,50.606754099950194,50.62200720002875,50.62200720002875,0.03211540007032454,52.00617780000903,[-0.045],[0.31583333333333335],[1],[0],[0],[1.398961199913174],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
45,0,45,[-0.06916666666666667],[0.0875],[1],[0],[0],[0.9830200998112559],['target'],45,0,45,0,52.05388959986158,,10,52.03817509999499,52.05388959986158,52.05388959986158,0.03179290005937219,53.02170789986849,[-0.06916666666666667],[0.0875],[1],[0],[0],[0.9830200998112559],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
46,0,46,[-0.375],[-0.21666666666666667],[1],[0],[0],[1.0965189998969436],['target'],46,0,46,0,53.08739429991692,,10,53.05707779992372,53.08739429991692,53.08739429991692,0.03516460000537336,54.15420979983173,[-0.375],[-0.21666666666666667],[1],[0],[0],[1.0965189998969436],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
47,0,47,[-0.1575],[-0.43166666666666664],[1],[0],[0],[0.9659174999687821],['target'],47,0,47,0,54.194093300029635,,5,54.17310899985023,54.194093300029635,54.194093300029635,0.01869299984537065,55.13972430001013,[-0.1575],[-0.43166666666666664],[1],[0],[0],[0.9659174999687821],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
48,0,48,[-0.009166666666666667],[0.4116666666666667],[1],[0],[0],[1.544109100010246],['target'],48,0,48,0,55.16881149983965,,5,55.158616199856624,55.16881149983965,55.16881149983965,0.018692399840801954,56.703204500023276,[-0.009166666666666667],[0.4116666666666667],[1],[0],[0],[1.544109100010246],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
49,0,49,[-0.03833333333333333],[-0.4008333333333333],[1],[0],[0],[1.165947699919343],['target'],49,0,49,0,56.75070029986091,,10,56.73456300003454,56.75070029986091,56.75070029986091,0.031141200102865696,57.90097810002044,[-0.03833333333333333],[-0.4008333333333333],[1],[0],[0],[1.165947699919343],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
50,0,50,[-0.1775],[0.13166666666666665],[1],[0],[0],[1.1796939000487328],['target'],50,0,50,0,57.96707009989768,,10,57.93752250005491,57.96707009989768,57.96707009989768,0.03629349987022579,59.1177925998345,[-0.1775],[0.13166666666666665],[1],[0],[0],[1.1796939000487328],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
