64.4210 	EXP 	fixation: autoDraw = False
64.4210 	EXP 	text: autoDraw = True
64.8387 	EXP 	New trial (rep=2, index=4): <Trial 18 (4 in rep 2) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 18, 'thisTrialN': 4, 'thisRepN': 2}>
64.8429 	DATA 	Keypress: l
64.8537 	EXP 	fixation: autoDraw = False
64.8537 	EXP 	text: autoDraw = False
64.8537 	EXP 	text: height = 0.05
64.8537 	EXP 	text: height = 0.05
64.8537 	EXP 	text: height = 0.05
64.8537 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
64.8537 	EXP 	fixation: autoDraw = True
65.8544 	INFO 	Keyboard events cleared
65.8541 	EXP 	fixation: autoDraw = False
65.8541 	EXP 	text: autoDraw = True
66.2544 	EXP 	New trial (rep=2, index=5): <Trial 19 (5 in rep 2) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 19, 'thisTrialN': 5, 'thisRepN': 2}>
66.2585 	DATA 	Keypress: l
66.2695 	EXP 	fixation: autoDraw = False
66.2695 	EXP 	text: autoDraw = False
66.2695 	EXP 	text: height = 0.05
66.2695 	EXP 	text: height = 0.05
66.2695 	EXP 	text: height = 0.05
66.2695 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
66.2695 	EXP 	fixation: autoDraw = True
67.2543 	INFO 	Keyboard events cleared
67.2538 	EXP 	text: autoDraw = True
67.2705 	EXP 	fixation: autoDraw = False
67.6873 	EXP 	New trial (rep=2, index=6): <Trial 20 (6 in rep 2) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 20, 'thisTrialN': 6, 'thisRepN': 2}>
67.6912 	DATA 	Keypress: l
67.7025 	EXP 	fixation: autoDraw = False
67.7025 	EXP 	text: autoDraw = False
67.7025 	EXP 	text: height = 0.05
67.7025 	EXP 	text: height = 0.05
67.7025 	EXP 	text: height = 0.05
67.7025 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
67.7025 	EXP 	fixation: autoDraw = True
68.6868 	INFO 	Keyboard events cleared
68.6862 	EXP 	text: autoDraw = True
68.7025 	EXP 	fixation: autoDraw = False
69.0366 	EXP 	New trial (rep=3, index=0): <Trial 21 (0 in rep 3) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 21, 'thisTrialN': 0, 'thisRepN': 3}>
69.0408 	DATA 	Keypress: t
69.0519 	EXP 	fixation: autoDraw = False
69.0519 	EXP 	text: autoDraw = False
69.0519 	EXP 	text: height = 0.05
69.0519 	EXP 	text: height = 0.05
69.0519 	EXP 	text: height = 0.05
69.0519 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
69.0519 	EXP 	fixation: autoDraw = True
70.0360 	INFO 	Keyboard events cleared
70.0357 	EXP 	text: autoDraw = True
70.0521 	EXP 	fixation: autoDraw = False
70.6536 	EXP 	New trial (rep=3, index=1): <Trial 22 (1 in rep 3) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 22, 'thisTrialN': 1, 'thisRepN': 3}>
70.6575 	DATA 	Keypress: l
70.6677 	EXP 	fixation: autoDraw = False
70.6677 	EXP 	text: autoDraw = False
70.6677 	EXP 	text: height = 0.05
70.6677 	EXP 	text: height = 0.05
70.6677 	EXP 	text: height = 0.05
70.6677 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
70.6677 	EXP 	fixation: autoDraw = True
71.6683 	INFO 	Keyboard events cleared
71.6680 	EXP 	fixation: autoDraw = False
71.6680 	EXP 	text: autoDraw = True
72.2022 	EXP 	New trial (rep=3, index=2): <Trial 23 (2 in rep 3) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 23, 'thisTrialN': 2, 'thisRepN': 3}>
72.2064 	DATA 	Keypress: l
72.2169 	EXP 	fixation: autoDraw = False
72.2169 	EXP 	text: autoDraw = False
72.2169 	EXP 	text: height = 0.05
72.2169 	EXP 	text: height = 0.05
72.2169 	EXP 	text: height = 0.05
72.2169 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
72.2169 	EXP 	fixation: autoDraw = True
73.2024 	INFO 	Keyboard events cleared
73.2020 	EXP 	text: autoDraw = True
73.2178 	EXP 	fixation: autoDraw = False
73.6850 	EXP 	New trial (rep=3, index=3): <Trial 24 (3 in rep 3) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 24, 'thisTrialN': 3, 'thisRepN': 3}>
73.6888 	DATA 	Keypress: t
73.6997 	EXP 	fixation: autoDraw = False
73.6997 	EXP 	text: autoDraw = False
73.6997 	EXP 	text: height = 0.05
73.6997 	EXP 	text: height = 0.05
73.6997 	EXP 	text: height = 0.05
73.6997 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
73.6997 	EXP 	fixation: autoDraw = True
74.6844 	INFO 	Keyboard events cleared
74.6840 	EXP 	text: autoDraw = True
74.7004 	EXP 	fixation: autoDraw = False
75.1675 	EXP 	New trial (rep=3, index=4): <Trial 25 (4 in rep 3) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 25, 'thisTrialN': 4, 'thisRepN': 3}>
75.1716 	DATA 	Keypress: t
75.1823 	EXP 	fixation: autoDraw = False
75.1823 	EXP 	text: autoDraw = False
75.1823 	EXP 	text: height = 0.05
75.1823 	EXP 	text: height = 0.05
75.1823 	EXP 	text: height = 0.05
75.1823 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
75.1823 	EXP 	fixation: autoDraw = True
76.1829 	INFO 	Keyboard events cleared
76.1826 	EXP 	fixation: autoDraw = False
76.1826 	EXP 	text: autoDraw = True
76.6837 	EXP 	New trial (rep=3, index=5): <Trial 26 (5 in rep 3) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 26, 'thisTrialN': 5, 'thisRepN': 3}>
76.6883 	DATA 	Keypress: l
76.6984 	EXP 	fixation: autoDraw = False
76.6984 	EXP 	text: autoDraw = False
76.6984 	EXP 	text: height = 0.05
76.6984 	EXP 	text: height = 0.05
76.6984 	EXP 	text: height = 0.05
76.6984 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
76.6984 	EXP 	fixation: autoDraw = True
77.6995 	INFO 	Keyboard events cleared
77.6990 	EXP 	fixation: autoDraw = False
77.6990 	EXP 	text: autoDraw = True
78.1495 	EXP 	New trial (rep=3, index=6): <Trial 27 (6 in rep 3) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 27, 'thisTrialN': 6, 'thisRepN': 3}>
78.1538 	DATA 	Keypress: l
78.1643 	EXP 	fixation: autoDraw = False
78.1643 	EXP 	text: autoDraw = False
78.1643 	EXP 	text: height = 0.05
78.1643 	EXP 	text: height = 0.05
78.1643 	EXP 	text: height = 0.05
78.1643 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
78.1643 	EXP 	fixation: autoDraw = True
79.1651 	INFO 	Keyboard events cleared
79.1648 	EXP 	fixation: autoDraw = False
79.1648 	EXP 	text: autoDraw = True
79.5826 	EXP 	New trial (rep=4, index=0): <Trial 28 (0 in rep 4) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 28, 'thisTrialN': 0, 'thisRepN': 4}>
79.5868 	DATA 	Keypress: l
79.5971 	EXP 	fixation: autoDraw = False
79.5971 	EXP 	text: autoDraw = False
79.5971 	EXP 	text: height = 0.05
79.5971 	EXP 	text: height = 0.05
79.5971 	EXP 	text: height = 0.05
79.5971 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
79.5971 	EXP 	fixation: autoDraw = True
80.5980 	INFO 	Keyboard events cleared
80.5976 	EXP 	fixation: autoDraw = False
80.5976 	EXP 	text: autoDraw = True
80.9655 	EXP 	New trial (rep=4, index=1): <Trial 29 (1 in rep 4) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 29, 'thisTrialN': 1, 'thisRepN': 4}>
80.9699 	DATA 	Keypress: t
80.9800 	EXP 	fixation: autoDraw = False
80.9800 	EXP 	text: autoDraw = False
80.9800 	EXP 	text: height = 0.05
80.9800 	EXP 	text: height = 0.05
80.9800 	EXP 	text: height = 0.05
80.9800 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
80.9800 	EXP 	fixation: autoDraw = True
81.9807 	INFO 	Keyboard events cleared
81.9805 	EXP 	fixation: autoDraw = False
81.9805 	EXP 	text: autoDraw = True
82.4143 	EXP 	New trial (rep=4, index=2): <Trial 30 (2 in rep 4) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 30, 'thisTrialN': 2, 'thisRepN': 4}>
82.4184 	DATA 	Keypress: l
82.4293 	EXP 	fixation: autoDraw = False
82.4293 	EXP 	text: autoDraw = False
82.4293 	EXP 	text: height = 0.05
82.4293 	EXP 	text: height = 0.05
82.4293 	EXP 	text: height = 0.05
82.4293 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
82.4293 	EXP 	fixation: autoDraw = True
83.4303 	INFO 	Keyboard events cleared
83.4300 	EXP 	fixation: autoDraw = False
83.4300 	EXP 	text: autoDraw = True
83.8812 	EXP 	New trial (rep=4, index=3): <Trial 31 (3 in rep 4) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 31, 'thisTrialN': 3, 'thisRepN': 4}>
83.8851 	DATA 	Keypress: t
83.8951 	EXP 	fixation: autoDraw = False
83.8951 	EXP 	text: autoDraw = False
83.8951 	EXP 	text: height = 0.05
83.8951 	EXP 	text: height = 0.05
83.8951 	EXP 	text: height = 0.05
83.8951 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
83.8951 	EXP 	fixation: autoDraw = True
84.8964 	INFO 	Keyboard events cleared
84.8959 	EXP 	fixation: autoDraw = False
84.8959 	EXP 	text: autoDraw = True
85.4964 	EXP 	New trial (rep=4, index=4): <Trial 32 (4 in rep 4) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 32, 'thisTrialN': 4, 'thisRepN': 4}>
85.5002 	DATA 	Keypress: l
85.5114 	EXP 	fixation: autoDraw = False
85.5114 	EXP 	text: autoDraw = False
85.5114 	EXP 	text: height = 0.05
85.5114 	EXP 	text: height = 0.05
85.5114 	EXP 	text: height = 0.05
85.5114 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
85.5114 	EXP 	fixation: autoDraw = True
86.5126 	INFO 	Keyboard events cleared
86.5122 	EXP 	fixation: autoDraw = False
86.5122 	EXP 	text: autoDraw = True
86.8459 	EXP 	New trial (rep=4, index=5): <Trial 33 (5 in rep 4) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 33, 'thisTrialN': 5, 'thisRepN': 4}>
86.8505 	DATA 	Keypress: l
86.8608 	EXP 	fixation: autoDraw = False
86.8608 	EXP 	text: autoDraw = False
86.8608 	EXP 	text: height = 0.05
86.8608 	EXP 	text: height = 0.05
86.8608 	EXP 	text: height = 0.05
86.8608 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
86.8608 	EXP 	fixation: autoDraw = True
87.8445 	INFO 	Keyboard events cleared
87.8439 	EXP 	text: autoDraw = True
87.8610 	EXP 	fixation: autoDraw = False
88.1784 	EXP 	New trial (rep=4, index=6): <Trial 34 (6 in rep 4) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 34, 'thisTrialN': 6, 'thisRepN': 4}>
88.1823 	DATA 	Keypress: l
88.1933 	EXP 	fixation: autoDraw = False
88.1933 	EXP 	text: autoDraw = False
88.1933 	EXP 	text: height = 0.05
88.1933 	EXP 	text: height = 0.05
88.1933 	EXP 	text: height = 0.05
88.1933 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
88.1933 	EXP 	fixation: autoDraw = True
89.1774 	INFO 	Keyboard events cleared
89.1771 	EXP 	text: autoDraw = True
89.1937 	EXP 	fixation: autoDraw = False
89.5125 	EXP 	New trial (rep=5, index=0): <Trial 35 (0 in rep 5) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 35, 'thisTrialN': 0, 'thisRepN': 5}>
89.5170 	DATA 	Keypress: l
89.5266 	EXP 	fixation: autoDraw = False
89.5266 	EXP 	text: autoDraw = False
89.5266 	EXP 	text: height = 0.05
89.5266 	EXP 	text: height = 0.05
89.5266 	EXP 	text: height = 0.05
89.5266 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
89.5266 	EXP 	fixation: autoDraw = True
90.5271 	INFO 	Keyboard events cleared
90.5266 	EXP 	fixation: autoDraw = False
90.5266 	EXP 	text: autoDraw = True
