22.4767 	EXP 	fixation: autoDraw = True
23.4612 	INFO 	Keyboard events cleared
23.4608 	EXP 	text: autoDraw = True
23.4777 	EXP 	fixation: autoDraw = False
23.8784 	EXP 	New trial (rep=2, index=1): <Trial 15 (1 in rep 2) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 15, 'thisTrialN': 1, 'thisRepN': 2}>
23.8829 	DATA 	Keypress: l
23.8926 	EXP 	fixation: autoDraw = False
23.8926 	EXP 	text: autoDraw = False
23.8926 	EXP 	text: height = 0.05
23.8926 	EXP 	text: height = 0.05
23.8926 	EXP 	text: height = 0.05
23.8926 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
23.8926 	EXP 	fixation: autoDraw = True
24.8939 	INFO 	Keyboard events cleared
24.8933 	EXP 	fixation: autoDraw = False
24.8933 	EXP 	text: autoDraw = True
25.2775 	EXP 	New trial (rep=2, index=2): <Trial 16 (2 in rep 2) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 16, 'thisTrialN': 2, 'thisRepN': 2}>
25.2815 	DATA 	Keypress: t
25.2921 	EXP 	fixation: autoDraw = False
25.2921 	EXP 	text: autoDraw = False
25.2921 	EXP 	text: height = 0.05
25.2921 	EXP 	text: height = 0.05
25.2921 	EXP 	text: height = 0.05
25.2921 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
25.2921 	EXP 	fixation: autoDraw = True
26.2926 	INFO 	Keyboard events cleared
26.2923 	EXP 	fixation: autoDraw = False
26.2923 	EXP 	text: autoDraw = True
26.7098 	EXP 	New trial (rep=2, index=3): <Trial 17 (3 in rep 2) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 17, 'thisTrialN': 3, 'thisRepN': 2}>
26.7141 	DATA 	Keypress: t
26.7247 	EXP 	fixation: autoDraw = False
26.7247 	EXP 	text: autoDraw = False
26.7247 	EXP 	text: height = 0.05
26.7247 	EXP 	text: height = 0.05
26.7247 	EXP 	text: height = 0.05
26.7247 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
26.7247 	EXP 	fixation: autoDraw = True
27.7086 	INFO 	Keyboard events cleared
27.7083 	EXP 	text: autoDraw = True
27.7250 	EXP 	fixation: autoDraw = False
28.8088 	EXP 	New trial (rep=2, index=4): <Trial 18 (4 in rep 2) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 18, 'thisTrialN': 4, 'thisRepN': 2}>
28.8129 	DATA 	Keypress: t
28.8238 	EXP 	fixation: autoDraw = False
28.8238 	EXP 	text: autoDraw = False
28.8238 	EXP 	text: height = 0.05
28.8238 	EXP 	text: height = 0.05
28.8238 	EXP 	text: height = 0.05
28.8238 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
28.8238 	EXP 	fixation: autoDraw = True
29.8079 	INFO 	Keyboard events cleared
29.8076 	EXP 	text: autoDraw = True
29.8240 	EXP 	fixation: autoDraw = False
30.2921 	EXP 	New trial (rep=2, index=5): <Trial 19 (5 in rep 2) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 19, 'thisTrialN': 5, 'thisRepN': 2}>
30.2960 	DATA 	Keypress: l
30.3065 	EXP 	fixation: autoDraw = False
30.3065 	EXP 	text: autoDraw = False
30.3065 	EXP 	text: height = 0.05
30.3065 	EXP 	text: height = 0.05
30.3065 	EXP 	text: height = 0.05
30.3065 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
30.3065 	EXP 	fixation: autoDraw = True
31.3077 	INFO 	Keyboard events cleared
31.3071 	EXP 	fixation: autoDraw = False
31.3071 	EXP 	text: autoDraw = True
31.6747 	EXP 	New trial (rep=2, index=6): <Trial 20 (6 in rep 2) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 20, 'thisTrialN': 6, 'thisRepN': 2}>
31.6789 	DATA 	Keypress: t
31.6892 	EXP 	fixation: autoDraw = False
31.6892 	EXP 	text: autoDraw = False
31.6892 	EXP 	text: height = 0.05
31.6892 	EXP 	text: height = 0.05
31.6892 	EXP 	text: height = 0.05
31.6892 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
31.6892 	EXP 	fixation: autoDraw = True
32.6903 	INFO 	Keyboard events cleared
32.6898 	EXP 	fixation: autoDraw = False
32.6898 	EXP 	text: autoDraw = True
33.1073 	EXP 	New trial (rep=3, index=0): <Trial 21 (0 in rep 3) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 21, 'thisTrialN': 0, 'thisRepN': 3}>
33.1116 	DATA 	Keypress: t
33.1221 	EXP 	fixation: autoDraw = False
33.1221 	EXP 	text: autoDraw = False
33.1221 	EXP 	text: height = 0.05
33.1221 	EXP 	text: height = 0.05
33.1221 	EXP 	text: height = 0.05
33.1221 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
33.1221 	EXP 	fixation: autoDraw = True
34.1228 	INFO 	Keyboard events cleared
34.1225 	EXP 	fixation: autoDraw = False
34.1225 	EXP 	text: autoDraw = True
34.6896 	EXP 	New trial (rep=3, index=1): <Trial 22 (1 in rep 3) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 22, 'thisTrialN': 1, 'thisRepN': 3}>
34.6935 	DATA 	Keypress: t
34.7046 	EXP 	fixation: autoDraw = False
34.7046 	EXP 	text: autoDraw = False
34.7046 	EXP 	text: height = 0.05
34.7046 	EXP 	text: height = 0.05
34.7046 	EXP 	text: height = 0.05
34.7046 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
34.7046 	EXP 	fixation: autoDraw = True
35.6892 	INFO 	Keyboard events cleared
35.6886 	EXP 	text: autoDraw = True
35.7049 	EXP 	fixation: autoDraw = False
36.8887 	EXP 	New trial (rep=3, index=2): <Trial 23 (2 in rep 3) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 23, 'thisTrialN': 2, 'thisRepN': 3}>
36.8927 	DATA 	Keypress: t
36.9037 	EXP 	fixation: autoDraw = False
36.9037 	EXP 	text: autoDraw = False
36.9037 	EXP 	text: height = 0.05
36.9037 	EXP 	text: height = 0.05
36.9037 	EXP 	text: height = 0.05
36.9037 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
36.9037 	EXP 	fixation: autoDraw = True
37.9042 	INFO 	Keyboard events cleared
37.9038 	EXP 	fixation: autoDraw = False
37.9038 	EXP 	text: autoDraw = True
38.4896 	EXP 	New trial (rep=3, index=3): <Trial 24 (3 in rep 3) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 24, 'thisTrialN': 3, 'thisRepN': 3}>
38.4940 	DATA 	Keypress: l
38.5032 	EXP 	fixation: autoDraw = False
38.5032 	EXP 	text: autoDraw = False
38.5032 	EXP 	text: height = 0.05
38.5032 	EXP 	text: height = 0.05
38.5032 	EXP 	text: height = 0.05
38.5032 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
38.5032 	EXP 	fixation: autoDraw = True
39.5047 	INFO 	Keyboard events cleared
39.5042 	EXP 	fixation: autoDraw = False
39.5042 	EXP 	text: autoDraw = True
39.7538 	EXP 	New trial (rep=3, index=4): <Trial 25 (4 in rep 3) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 25, 'thisTrialN': 4, 'thisRepN': 3}>
39.7586 	DATA 	Keypress: t
39.7693 	EXP 	fixation: autoDraw = False
39.7693 	EXP 	text: autoDraw = False
39.7693 	EXP 	text: height = 0.05
39.7693 	EXP 	text: height = 0.05
39.7693 	EXP 	text: height = 0.05
39.7693 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
39.7693 	EXP 	fixation: autoDraw = True
40.7691 	INFO 	Keyboard events cleared
40.7688 	EXP 	fixation: autoDraw = False
40.7688 	EXP 	text: autoDraw = True
