reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,177,2,25,t,0.4371331000002101,None,25,2,177,4,366.44655919994693,,366.4332192999427,366.44655919994693,367.4462079999503,367.4462079999503,367.4462079999503,,367.89685889997054,t,0.4371331000002101,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,178,3,25,t,0.30011509999167174,None,25,3,178,1,367.9126389999874,,367.8993582999683,367.9126389999874,368.912131399964,368.912131399964,368.912131399964,,369.21333469997626,t,0.30011509999167174,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
11,30,7,179,4,25,l,0.5313483999925666,None,25,4,179,0,369.228725999943,,369.2155068999855,369.228725999943,370.2282130999956,370.2282130999956,370.2282130999956,,370.7617443999625,l,0.5313483999925666,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
27,50,21,180,5,25,l,1.0923385999631137,None,25,5,180,2,370.7781861999538,,370.76408699998865,370.7781861999538,371.7610861999565,371.7610861999565,371.77764579997165,,372.8612124999636,l,1.0923385999631137,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,181,6,25,t,0.5053143999539316,None,25,6,181,5,372.87715529999696,,372.86334659997374,372.87715529999696,373.8600931999972,373.8600931999972,373.87672039994504,,374.3772695999942,t,0.5053143999539316,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,182,0,26,t,0.6817055999999866,None,26,0,182,5,374.3932210999774,,374.3774462000001,374.3932210999774,375.3928119999473,375.3928119999473,375.3928119999473,,376.07619059999706,t,0.6817055999999866,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,183,1,26,t,2.1190073000034317,None,26,1,183,3,376.092410799989,,376.0784110999666,376.092410799989,377.0753615999711,377.0753615999711,377.09205049998127,379.0745302999858,379.20891569997184,t,2.1190073000034317,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
49,60,89,184,2,26,t,0.5570492999977432,None,26,2,184,4,379.22442729998147,,379.21135859994683,379.22442729998147,380.22406439995393,380.22406439995393,380.22406439995393,,380.7909850999713,t,0.5570492999977432,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,185,3,26,l,0.5933422999805771,None,26,3,185,1,380.8071937999921,,380.7932458999567,380.8071937999921,381.7900751999696,381.7900751999696,381.80660659994464,,382.39064939995296,l,0.5933422999805771,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
27,50,21,186,4,26,l,3.033823400037363,None,26,4,186,2,382.40677429997595,,382.392982499965,382.40677429997595,383.4065901999711,383.4065901999711,383.4065901999711,385.42187869996997,386.4557401999482,l,3.033823400037363,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,187,5,26,t,0.5769540999899618,None,26,5,187,6,386.471319699951,,386.45842669997364,386.471319699951,387.4708556999685,387.4708556999685,387.4708556999685,,388.0546740999562,t,0.5769540999899618,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
11,30,7,188,6,26,l,0.5854234999860637,None,26,6,188,0,388.07055969996145,,388.0568286999478,388.07055969996145,389.05357609997736,389.05357609997736,389.0701843999559,,389.6546368999989,l,0.5854234999860637,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,189,0,27,t,1.5284305000095628,None,27,0,189,5,389.6700871999492,,389.65676239994355,389.6700871999492,390.6693515999941,390.6693515999941,390.6693515999941,,392.20279829995707,t,1.5284305000095628,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
49,60,89,190,1,27,t,0.6333159999921918,None,27,1,190,4,392.2188423999469,,392.2052286999533,392.2188423999469,393.21831179998117,393.21831179998117,393.21831179998117,,393.8529360999819,t,0.6333159999921918,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,191,2,27,t,0.547552399977576,None,27,2,191,6,393.8682145999628,,393.8554316999507,393.8682145999628,394.86766179994447,394.86766179994447,394.86766179994447,,395.4178390999441,t,0.547552399977576,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
27,50,21,192,3,27,l,0.7074346999870613,None,27,3,192,2,395.43400959996507,,395.4201854999992,395.43400959996507,396.4175789000001,396.4175789000001,396.4335766999866,,397.13399029994616,l,0.7074346999870613,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
11,30,7,193,4,27,l,0.42697580001549795,None,27,4,193,0,397.15004849998513,,397.1361743999878,397.15004849998513,398.1496126999846,398.1496126999846,398.1496126999846,,398.58348699996714,l,0.42697580001549795,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,194,5,27,t,0.4194755000062287,None,27,5,194,3,398.59935289999703,,398.58570939995116,398.59935289999703,399.5990222999826,399.5990222999826,399.5990222999826,,400.03281329997117,t,0.4194755000062287,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,195,6,27,l,0.48453379998682067,None,27,6,195,1,400.0487106999499,,400.0351099999971,400.0487106999499,401.04834129998926,401.04834129998926,401.04834129998926,,401.5484547999804,l,0.48453379998682067,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
49,60,89,196,0,28,t,0.49524530000053346,None,28,0,196,4,401.5647793999524,,401.5507993999636,401.5647793999524,402.54771469999105,402.54771469999105,402.56431399995927,,403.0483352999436,t,0.49524530000053346,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
11,30,7,197,1,28,t,0.35082859999965876,None,28,1,197,0,403.06403639999917,,403.0506135999458,403.06403639999917,404.06371589994524,404.06371589994524,404.06371589994524,,404.4309846999822,t,0.35082859999965876,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,198,2,28,t,0.48084759997436777,None,28,2,198,6,404.4469721999485,,404.4334775999887,404.4469721999485,405.43006249994505,405.43006249994505,405.44649319996824,,405.9132810999872,t,0.48084759997436777,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,199,3,28,t,0.49308190000010654,None,28,3,199,3,405.929570999986,,405.9155583999818,405.929570999986,406.9124748999602,406.9124748999602,406.92917459999444,,407.412627099955,t,0.49308190000010654,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,200,4,28,l,0.38582760002464056,None,28,4,200,1,407.4288955999655,,407.4148334999918,407.4288955999655,408.4118294999935,408.4118294999935,408.4284127999563,,408.8124357999768,l,0.38582760002464056,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,201,5,28,t,0.40490799996769056,None,28,5,201,5,408.8284248999553,,408.8145084999851,408.8284248999553,409.81138529995224,409.81138529995224,409.828126999957,,410.22814009996364,t,0.40490799996769056,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
27,50,21,202,6,28,l,0.4617020000005141,None,28,6,202,2,410.24448019999545,,410.2303515999811,410.24448019999545,411.2275794999441,411.2275794999441,411.24398029997246,,411.6945422999561,l,0.4617020000005141,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
11,30,7,203,0,29,t,0.2671246000099927,None,29,0,203,0,411.71034229994984,,411.69699559995206,411.71034229994984,412.69326769997133,412.69326769997133,412.7099780999706,,412.97785909997765,t,0.2671246000099927,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,204,1,29,t,0.813083499961067,None,29,1,204,5,412.99360359995626,,412.9801193999592,412.99360359995626,413.99273089994676,413.99273089994676,413.99273089994676,,414.8099387999973,t,0.813083499961067,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,205,2,29,l,0.33891160000348464,None,29,2,205,1,414.8258144999854,,414.81226959999185,414.8258144999854,415.82524729997385,415.82524729997385,415.82524729997385,,416.1759027999942,l,0.33891160000348464,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
27,50,21,206,3,29,l,0.6562692999723367,None,29,3,206,2,416.1917991999653,,416.17825069994433,416.1917991999653,417.1913940999657,417.1913940999657,417.1913940999657,,417.8586867999984,l,0.6562692999723367,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,207,4,29,l,0.46718959999270737,None,29,4,207,6,417.8748529999866,,417.86141699994914,417.8748529999866,418.87392119999276,418.87392119999276,418.87392119999276,,419.35758029995486,l,0.46718959999270737,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
49,60,89,208,5,29,t,0.6690763999940827,None,29,5,208,4,419.3745027999976,,419.35996659996454,419.3745027999976,420.3567599999951,420.3567599999951,420.3901253999793,,421.0406021999661,t,0.6690763999940827,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,209,6,29,t,0.48075709998374805,None,29,6,209,3,421.05630050000036,,421.0430758999428,421.05630050000036,422.05594889994245,422.05594889994245,422.05594889994245,,422.539464499976,t,0.48075709998374805,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
27,50,21,210,0,30,l,0.3923122999840416,None,30,0,210,2,422.5557329999865,,422.5416742999805,422.5557329999865,423.53860309999436,423.53860309999436,423.555486999976,,423.9392383999657,l,0.3923122999840416,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
49,60,89,211,1,30,t,0.5638663999852724,None,30,1,211,4,423.95573929999955,,423.9421699999948,423.95573929999955,424.9546819999814,424.9546819999814,424.97131309995893,,425.52188399998704,t,0.5638663999852724,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
11,30,7,212,2,30,l,0.4782848000177182,None,30,2,212,0,425.5376842999831,,425.5242612999864,425.5376842999831,426.5205793999485,426.5205793999485,426.53718399995705,,427.0045315999887,l,0.4782848000177182,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,213,3,30,t,0.592037900001742,None,30,3,213,6,427.0205554999993,,427.0076194999856,427.0205554999993,428.0200268999906,428.0200268999906,428.0200268999906,,428.62041079998016,t,0.592037900001742,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,214,4,30,l,0.9490464000264183,None,30,4,214,1,428.63663039996754,,428.62262089998694,428.63663039996754,429.63607099995716,429.63607099995716,429.63607099995716,,430.5865240999847,l,0.9490464000264183,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,215,5,30,t,0.47347250004531816,None,30,5,215,5,430.60223889996996,,430.58883019996574,430.60223889996996,431.60212539997883,431.60212539997883,431.60212539997883,,432.0856711999513,t,0.47347250004531816,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,216,6,30,t,0.5537465999950655,None,30,6,216,3,432.1019800999784,,432.08788089995505,432.1019800999784,433.08452189998934,433.08452189998934,433.1012387999799,,433.65180259995395,t,0.5537465999950655,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,217,0,31,t,0.4265729999751784,None,31,0,217,6,433.667861599999,,433.65449049999006,433.667861599999,434.66733629995724,434.66733629995724,434.66733629995724,,435.10102269996423,t,0.4265729999751784,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,218,1,31,t,0.5012577000306919,None,31,1,218,3,435.11705149995396,,435.1032369999448,435.11705149995396,436.1164795999648,436.1164795999648,436.1164795999648,,436.63435639999807,t,0.5012577000306919,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
27,50,21,219,2,31,l,0.5068329000496306,None,31,2,219,2,436.64968129998306,,436.63681799999904,436.64968129998306,437.64921589998994,437.64921589998994,437.64921589998994,,438.16633369994815,l,0.5068329000496306,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,220,3,31,t,0.463120499975048,None,31,3,220,5,438.1823504999629,,438.16844699997455,438.1823504999629,439.1824147999869,439.1824147999869,439.1824147999869,,439.6490713999956,t,0.463120499975048,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
49,60,89,221,4,31,t,0.5586870000115596,None,31,4,221,4,439.6649366999627,,439.6516407999443,439.6649366999627,440.66460019996157,440.66460019996157,440.66460019996157,,441.23162459995365,t,0.5586870000115596,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
11,30,7,222,5,31,l,0.5988311999826692,None,31,5,222,0,441.24765139998635,,441.23391249997076,441.24765139998635,442.2472447999753,442.2472447999753,442.2472447999753,,442.8477514999686,l,0.5988311999826692,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,223,6,31,l,0.6481372000416741,None,31,6,223,1,442.8636165999924,,442.8501948999474,442.8636165999924,443.8631631999742,443.8631631999742,443.8631631999742,,444.51330149994465,l,0.6481372000416741,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,224,0,32,t,0.4649331999826245,None,32,0,224,3,444.52962349995505,,444.51543319999473,444.52962349995505,445.51261149998754,445.51261149998754,445.529645899951,,445.9795261999825,t,0.4649331999826245,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,225,1,32,l,0.5474531999789178,None,32,1,225,1,445.99569029995473,,445.9819671000005,445.99569029995473,446.9785290999571,446.9785290999571,446.9953883999842,,447.52877409994835,l,0.5474531999789178,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,226,2,32,t,0.38739640003768727,None,32,2,226,6,447.54543639998883,,447.5312414999935,447.54543639998883,448.5278787999996,448.5278787999996,448.5445363999461,,448.92805559997214,t,0.38739640003768727,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
