28.3780 	EXP 	New trial (rep=21, index=0): <Trial 21 (0 in rep 21) data={'thisN': 21, 'thisTrialN': 0, 'thisRepN': 21}>
28.3792 	DATA 	Keypress: up
28.3928 	EXP 	Fixation: autoDraw = False
28.3928 	EXP 	grating: autoDraw = False
28.3928 	EXP 	grating: ori = 0.0
28.3928 	EXP 	Fixation: autoDraw = True
29.0782 	DATA 	Keypress: up
29.3931 	INFO 	Keyboard events cleared
29.3926 	EXP 	Fixation: autoDraw = False
29.3926 	EXP 	grating: autoDraw = True
29.6606 	EXP 	New trial (rep=22, index=0): <Trial 22 (0 in rep 22) data={'thisN': 22, 'thisTrialN': 0, 'thisRepN': 22}>
29.6618 	DATA 	Keypress: up
29.6763 	EXP 	Fixation: autoDraw = False
29.6763 	EXP 	grating: autoDraw = False
29.6763 	EXP 	grating: ori = 0.0
29.6763 	EXP 	Fixation: autoDraw = True
30.2773 	DATA 	Keypress: up
30.5099 	DATA 	Keypress: up
30.6763 	INFO 	Keyboard events cleared
30.6759 	EXP 	Fixation: autoDraw = False
30.6759 	EXP 	grating: autoDraw = True
30.6938 	EXP 	New trial (rep=23, index=0): <Trial 23 (0 in rep 23) data={'thisN': 23, 'thisTrialN': 0, 'thisRepN': 23}>
30.6950 	DATA 	Keypress: up
30.7090 	EXP 	Fixation: autoDraw = False
30.7090 	EXP 	grating: autoDraw = False
30.7090 	EXP 	grating: ori = -4.0
30.7090 	EXP 	Fixation: autoDraw = True
30.8605 	DATA 	Keypress: up
31.0272 	DATA 	Keypress: up
31.1768 	DATA 	Keypress: up
31.3428 	DATA 	Keypress: up
31.5098 	DATA 	Keypress: up
31.6594 	DATA 	Keypress: up
31.7086 	INFO 	Keyboard events cleared
31.7082 	EXP 	Fixation: autoDraw = False
31.7082 	EXP 	grating: autoDraw = True
31.8095 	EXP 	New trial (rep=24, index=0): <Trial 24 (0 in rep 24) data={'thisN': 24, 'thisTrialN': 0, 'thisRepN': 24}>
31.8105 	DATA 	Keypress: up
31.8250 	EXP 	Fixation: autoDraw = False
31.8250 	EXP 	grating: autoDraw = False
